bidNtceNo,bidNtceOrd,bidClsfcNo,rbidNo,ntceDivCd,bidNtceNm,prtcptCnum,bidwinnrNm,bidwinnrBizno,bidwinnrCeoNm,bidwinnrAdrs,bidwinnrTelNo,sucsfbidAmt,sucsfbidRate,rlOpengDt,dminsttCd,dminsttNm,rgstDt,fnlSucsfDate,fnlSucsfCorpOfcl
20220127219,000,0,000,통050001,2022년 하수도 연간단가 준설공사,30,유한회사태양건설,4028141905,김성열,"대전광역시 서구 둔산대로117번길 44, 엑스포오피스텔 1017호 (만년동)",042-826-4800,86976810,87.787,2022-02-04 11:00:00,3650000,대전광역시 중구,2022-02-08 11:05:38,2022-02-08,
20220201480,000,0,000,통050001,2022년도 노후상수관로 교체공사,164,진강산업개발주식회사,3078122525,임호진,대전광역시 유성구 학하남로99번길 14-17 (학하동),042-525-7700,293624100,88.366,2022-02-14 11:00:00,B550234,국방과학연구소,2022-02-24 17:58:44,2022-02-24,
20220237487,000,0,000,통050001,유성초 등 2교(대전구봉중) 외부환경개선공사,131,주식회사 보배엔지니어링,3148627580,문효태,"대전광역시 서구 복수동로52번길 106, 2층(복수동)",042-485-3375,312551749,87.796,2022-03-07 11:00:00,7451000,대전광역시교육청 대전광역시서부교육지원청,2022-03-08 11:06:39,2022-03-08,
20220205330,000,0,000,통050001,2022년 하수시설물 준설공사(연간단가),34,건설수도(합),3148100228,임광혁,대전광역시 유성구 학하남로99번길 14-17 (학하동),042-531-1188,216443000,88.452,2022-02-16 11:00:00,3680000,대전광역시 대덕구,2022-02-21 10:24:04,2022-02-21,
20220201454,000,0,000,통050001,2022년 하수도 수선공사(연간단가) 2권역,172,21세기건설산업 주식회사,3018132573,홍만기,대전광역시 서구 유등로 353 (변동),042-523-0121,363602320,88.436,2022-02-11 11:00:00,3670000,대전광역시 유성구,2022-02-15 10:26:47,2022-02-15,
20220201127,000,0,000,통050001,2022년 하수도 준설공사(연간단가),34,(주)씨엔씨,3148107541,양신구,"대전광역시 유성구 온천로 1412호(봉명동,동아벤처타워)",042-486-3865,174433000,87.748,2022-02-09 11:00:00,3670000,대전광역시 유성구,2022-02-09 14:32:59,2022-02-09,
20220215940,000,0,000,통050001,2022년 하수처리구역 외 지역 기계준설공사(연간단가),31,조움건설 주식회사,3148125059,배진아,대전광역시 대덕구 송촌북로20번길 13-15(송촌동),042-635-4478,87473780,87.786,2022-02-18 11:00:00,3660000,대전광역시 서구,2022-02-18 16:35:59,2022-02-18,
20220128242,000,0,000,통050001,2022년 하수도 연간단가 긴급수선공사(서부지역),224,다원종합건설 주식회사,3138800511,송준호,"대전광역시 서구 문정로9번길 37, 4층 (둔산동,다원빌딩)",042-482-9100,269083000,88.972,2022-02-04 11:00:00,3650000,대전광역시 중구,2022-02-10 10:49:28,2022-02-10,
20220234868,000,0,000,통050001,2022년 하수시설물 긴급보수공사 연간단가(2구역),177,합자회사 늘푸른,3148187453,오혜경,"대전광역시 대덕구 대전로1364번길 17-2 (읍내동),1층",042-320-8815,248726900,88.398,2022-03-08 11:00:00,3680000,대전광역시 대덕구,2022-03-18 09:14:49,2022-03-18,
20220234848,000,0,000,통050001,2022년 하수시설물 긴급보수공사 연간단가(1구역),177,가득건설(주),2208703539,황성환,대전광역시 동구 옻밭2길 19-0 (신흥동),042-545-8870,246548000,88.409,2022-03-08 11:00:00,3680000,대전광역시 대덕구,2022-03-18 09:13:39,2022-03-18,
20220202272,000,0,000,통050001,2022년 하수도 긴급수선공사 연간단가(관내 2구역),174,다수청(주),3148616462,김응구,대전광역시 중구 보문산로215번길 19-0 (문화동),042-541-4322,310343900,88.395,2022-02-11 11:00:00,3640000,대전광역시 동구,2022-02-24 10:13:51,2022-02-24,
20220202233,000,0,000,통050001,2022년 하수도 긴급수선공사 연간단가(관내 1구역),174,(합)대청상수도건설사,3148100572,김현주,대전광역시 서구 변동서로28번길 70  (),042-524-2055,306266933,88.402,2022-02-11 11:00:00,3640000,대전광역시 동구,2022-02-24 09:38:26,2022-02-24,
20220207930,000,0,000,통050001,2022년 제1구역 하수도 긴급수선공사(연간단가),173,경진건설(주),3058135548,빈종일,대전광역시 대덕구 한남로137번길 54 (),042-624-0489,420025400,88.442,2022-02-16 11:00:00,3660000,대전광역시 서구,2022-02-22 17:43:11,2022-02-22,
20220215864,000,0,000,통050001,2022년 하수도 기계준설공사(연간단가),31,유한회사태양건설,4028141905,김성열,"대전광역시 서구 둔산대로117번길 44, 엑스포오피스텔 1017호 (만년동)",042-826-4800,88106000,87.768,2022-02-18 11:00:00,3660000,대전광역시 서구,2022-02-18 16:48:24,2022-02-18,
20220128154,000,0,000,통050001,2022년 하수도 연간단가 긴급수선공사(동부지역),224,나성산업개발(주),2278106646,김용관,"대전광역시 중구 계백로 1605, 3층 302호 (유천동)",042-581-9811,273399780,88.484,2022-02-04 11:00:00,3650000,대전광역시 중구,2022-02-10 10:43:24,2022-02-10,
20220201364,000,0,000,통050001,2022년 하수도 수선공사(연간단가) 1권역,173,(주)명지공영,3078146610,김효철,"대전광역시 유성구 대학로 31 (봉명동, 한진리조트오피스텔) 720호",042-544-4809,355919000,88.456,2022-02-11 11:00:00,3670000,대전광역시 유성구,2022-02-15 10:26:23,2022-02-15,
20220334251,000,0,000,통050001,사정동 J72블록 노후관 개량공사,278,주식회사 엘케이건설,1198144621,한길식,"충청남도 부여군 부여읍 사비로 50,201호",041-832-5571,177377600,87.746,2022-03-29 11:00:00,6300116,대전광역시 상수도사업본부 중부사업소,2022-04-01 09:09:13,2022-04-01,
20220310776,000,0,000,통050001,대전둔원초 운동장 재조성공사,133,명성이엔씨 주식회사,3078124300,조임자,대전광역시 유성구 노은서로76번길 57-0 (노은동)명성빌딩 401호,042-471-4677,185816998,87.754,2022-03-17 11:00:00,7451000,대전광역시교육청 대전광역시서부교육지원청,2022-03-21 13:46:25,2022-03-21,
20220351550,000,0,000,통050001,대동천우안5길 일원 하수관로 정비공사,192,주식회사 신우제이건설,6108140190,정기영,"대전광역시 동구 한남로7번길 64,베스트빌 1층",042-639-7923,126654860,87.758,2022-04-06 11:00:00,3640000,대전광역시 동구,2022-04-14 14:24:01,2022-04-14,
20220344267,000,0,000,통050001,대전중 보차도분리 및 기타공사,125,태림환경(주),3058129667,김태령,"대전광역시 유성구 온천북로 73, 201, 202호 (봉명동, 투유1)",042-472-1902,81693900,87.761,2022-04-05 11:00:00,7441000,대전광역시교육청 대전광역시동부교육지원청,2022-04-07 13:39:05,2022-04-07,
20220341087,000,0,000,통050001,계백로 일원 노후관 개량공사,246,장맥건설 주식회사,3148110497,지성훈,"대전광역시 중구 계백로 1625,505 (유천동 벽산빌딩)",042-522-1548,299708500,88.54,2022-03-31 11:00:00,6300114,대전광역시 상수도사업본부 수도시설관리소,2022-04-05 13:28:41,2022-04-05,
20220237487,000,0,000,통050001,유성초 등 2교(대전구봉중) 외부환경개선공사,131,주식회사 보배엔지니어링,3148627580,문효태,"대전광역시 서구 복수동로52번길 106, 2층(복수동)",042-485-3375,312551749,87.796,2022-03-07 11:00:00,7451000,대전광역시교육청 대전광역시서부교육지원청,2022-03-08 11:06:39,2022-03-08,
20220342792,000,0,000,통050001,유성 송강지구 하수관로 정비사업(1구역),126,(주)부원건설,3088105285,김현수,"대전광역시 중구 계룡로 832 (오류동, 중도일보빌딩)",042-220-1080,1158695000,87.444,2022-04-05 11:00:00,3670000,대전광역시 유성구,2022-04-08 08:59:29,2022-04-08,
20220339355,000,0,000,통050001,송강동 일원 도로배수시설 개량공사,185,(주)오성토건,3058126068,오천석,대전광역시 서구 문예로 69 1508  오성빌딩(둔산동),042-488-0255,86941900,87.76,2022-03-30 11:00:00,3670000,대전광역시 유성구,2022-03-30 14:12:07,2022-03-30,
20220330411,000,0,000,통050001,송촌체육공원 일원 외 1개소 하수박스 준설공사,163,(유)주은건설,3148118107,강사길,대전광역시 유성구 복용남로 67-5 (복용동) 101호,042-822-3431,196418725,88.297,2022-03-29 11:00:00,3680000,대전광역시 대덕구,2022-04-04 09:13:29,2022-04-04,
20220341112,000,0,000,통050001,구성동 464번지 일원 노후관 개량공사,277,태원건설산업 주식회사,3058129876,박재현,"대전광역시 유성구 은구비남로7번길 14-7, 201호(지족동, 네오라이프빌딩)",042-826-6251,164498000,87.75,2022-03-31 11:00:00,6300114,대전광역시 상수도사업본부 수도시설관리소,2022-04-06 16:26:22,2022-04-06,
20220331054,000,0,000,통050001,대전교육과학연구원 등 2기관 포장개선 및 기타공사,132,주식회사 조은시설,2218113324,김영민,대전광역시 대덕구 석봉로30번안길 56-0 (석봉동),042-864-1104,193643620,87.782,2022-03-25 11:00:00,7430000,대전광역시교육청,2022-03-25 11:12:11,2022-03-25,
20220341271,000,0,000,통050001,가정동 Y21블록 노후관 개량공사,192,아인건설(주),3148136503,김종구,대전광역시 유성구 신성로 66 (),042-862-5781,65720400,87.772,2022-04-01 11:00:00,6300118,대전광역시 상수도사업본부 유성사업소,2022-04-01 11:27:59,2022-04-01,
20220333976,000,0,000,통050001,궁동 Y38블록 노후관 개량공사,196,(주)명지공영,3078146610,김효철,"대전광역시 유성구 대학로 31 (봉명동, 한진리조트오피스텔) 720호",042-544-4809,103883000,87.754,2022-03-29 11:00:00,6300118,대전광역시 상수도사업본부 유성사업소,2022-04-01 09:08:42,2022-04-01,
20220234868,000,0,000,통050001,2022년 하수시설물 긴급보수공사 연간단가(2구역),177,합자회사 늘푸른,3148187453,오혜경,"대전광역시 대덕구 대전로1364번길 17-2 (읍내동),1층",042-320-8815,248726900,88.398,2022-03-08 11:00:00,3680000,대전광역시 대덕구,2022-03-18 09:14:49,2022-03-18,
20220234848,000,0,000,통050001,2022년 하수시설물 긴급보수공사 연간단가(1구역),177,가득건설(주),2208703539,황성환,대전광역시 동구 옻밭2길 19-0 (신흥동),042-545-8870,246548000,88.409,2022-03-08 11:00:00,3680000,대전광역시 대덕구,2022-03-18 09:13:39,2022-03-18,
20220304352,000,0,000,통050001,대흥동 456번지 일원 하수관로 정비공사,178,신우건설이엔지 주식회사,6988600460,신현옥,대전광역시 유성구 학산로 5-0 (계산동),042-823-3141,62011610,87.819,2022-03-11 11:00:00,3650000,대전광역시 중구,2022-03-15 16:14:47,2022-03-15,
20220347591,000,0,000,통050001,산성동 328-1번지 일원 노후관 개량공사,251,청인건설주식회사,3058161139,엄운구,"대전광역시 대덕구 아리랑로113번안길 4 (읍내동), 2층",042-622-9906,273969380,88.51,2022-04-05 11:00:00,6300116,대전광역시 상수도사업본부 중부사업소,2022-04-06 16:27:05,2022-04-06,
20220343229,000,0,000,통050001,도로 침수대비 배수시설 개량공사,182,주식회사 명민정건설,1378614659,이영제,"대전광역시 서구 월평북로 95-0 (월평동) 1106호(월평동, 만년오피스텔)",042-472-9244,52719473,87.753,2022-04-01 11:00:00,3660000,대전광역시 서구,2022-04-04 13:08:53,2022-04-04,
20220334259,000,0,000,통050001,산성동 J57블록 노후관 개량공사,256,유케이건설 주식회사,3058198771,이미영,"대전광역시 유성구 노은서로 235-0 (지족동) , 201호",042-624-0967,208598100,88.587,2022-03-29 11:00:00,6300116,대전광역시 상수도사업본부 중부사업소,2022-04-05 13:29:17,2022-04-05,
20220351607,000,0,000,통050001,대청호 밤실마을 배수로정비 사업,194,합자회사 늘푸른,3148187453,오혜경,"대전광역시 대덕구 대전로1364번길 17-2 (읍내동),1층",042-320-8815,89563200,87.749,2022-04-06 11:00:00,3640000,대전광역시 동구,2022-04-14 15:15:31,2022-04-14,
20220349169,000,0,000,통050001,보문3구역 소로3-대사25호선 도로개설공사,113,주식회사 대륙기업,3068126663,김종욱,"대전광역시 대덕구 대전로 1392번길 28, (읍내동)",042-637-4927,123912158,87.794,2022-04-06 11:00:00,3650000,대전광역시 중구,2022-04-07 15:23:19,2022-04-07,
20220346544,000,0,000,통050001,2022년 원내 배수로 등 보수공사,151,(주)기석건설,3068127376,서기숙,대전광역시 동구 옥천로96번길 96-77 (),042-631-5807,113377000,87.749,2022-04-19 11:00:00,1180249,국가보훈처 국립대전현충원,2022-04-25 15:03:08,2022-04-25,
20220442794,000,0,000,통050001,탄동천 오수관로 정비공사(4차),156,아인건설(주),3148136503,김종구,대전광역시 유성구 신성로 66 (),042-862-5781,337919600,87.76,2022-05-03 11:00:00,3670000,대전광역시 유성구,2022-05-03 13:33:08,2022-05-03,
20220419649,000,0,000,통050001,도로 침수대비 배수시설 개량 및 정비사업,190,(주)토광,3088123721,양진호,"대전광역시 유성구 원내로39번길 42-14 (원내동), 1층 2호",042-541-0567,87887000,87.75,2022-04-19 11:00:00,3650000,대전광역시 중구,2022-04-20 14:54:55,2022-04-20,
20220421165,000,0,000,통050001,도로침수대비 배수시설 개량공사,189,칠성건설산업 주식회사,5678800592,서강현,"대전광역시 유성구 온천로 45, 알파동 1716호(봉명동, 유성푸르지오시티)",070-7675-7575,74081400,87.788,2022-04-19 11:00:00,3640000,대전광역시 동구,2022-04-21 06:53:51,2022-04-21,
20220401712,000,0,000,통050001,대전가양중 보차도분리 및 기타공사,121,미래이엔씨(주),8228601058,남은옥,대전광역시 서구 월드컵대로484번안길 40-21 (월평동),042-537-8222,330547336,87.759,2022-04-07 11:00:00,7441000,대전광역시교육청 대전광역시동부교육지원청,2022-04-11 16:47:11,2022-04-11,
20220351550,000,0,000,통050001,대동천우안5길 일원 하수관로 정비공사,192,주식회사 신우제이건설,6108140190,정기영,"대전광역시 동구 한남로7번길 64,베스트빌 1층",042-639-7923,126654860,87.758,2022-04-06 11:00:00,3640000,대전광역시 동구,2022-04-14 14:24:01,2022-04-14,
20220344267,000,0,000,통050001,대전중 보차도분리 및 기타공사,125,태림환경(주),3058129667,김태령,"대전광역시 유성구 온천북로 73, 201, 202호 (봉명동, 투유1)",042-472-1902,81693900,87.761,2022-04-05 11:00:00,7441000,대전광역시교육청 대전광역시동부교육지원청,2022-04-07 13:39:05,2022-04-07,
20220432997,003,0,000,통050001,송촌정수사업소 2단계 여과사 보사 및 보수공사,169,(자)삼정엔지니어링,3148110236,신영국,대전광역시 유성구 갑동로25번길 142-0 (갑동),042-823-7072,40049000,87.748,2022-04-28 11:00:00,6300111,대전광역시 상수도사업본부 송촌정수사업소,2022-04-28 13:41:21,2022-04-28,
20220408481,000,0,000,통050001,2022년 농업생산기반시설(용배수로) 정비공사,188,주식회사 대양환경건설산업,6128601183,강대양,대전광역시 유성구 복용남로 67-10 (복용동),042-672-4985,111740390,87.745,2022-04-13 11:00:00,3660000,대전광역시 서구,2022-04-13 11:23:10,2022-04-13,
20220443184,000,0,000,통050001,사정동 오월드네거리 배수시설 정비공사,196,(유) 태안건설,3108107888,김유성,대전광역시 대덕구 신탄진로162번길 156-0 (연축동),042-535-1338,158667352,87.746,2022-05-03 11:00:00,3650000,대전광역시 중구,2022-05-04 09:40:42,2022-05-04,
20220342792,000,0,000,통050001,유성 송강지구 하수관로 정비사업(1구역),126,(주)부원건설,3088105285,김현수,"대전광역시 중구 계룡로 832 (오류동, 중도일보빌딩)",042-220-1080,1158695000,87.444,2022-04-05 11:00:00,3670000,대전광역시 유성구,2022-04-08 08:59:29,2022-04-08,
20220436970,000,0,000,통050001,변동 S46블록 노후관 개량공사,247,합자회사 풍암건설,3148116720,김헌영,"대전광역시 중구 대종로550번길 5-0 (선화동, 유원오피스텔) 701호",042-528-8800,399382000,88.525,2022-04-28 11:00:00,6300320,대전광역시 상수도사업본부 서부사업소,2022-05-06 09:15:46,2022-05-06,
20220415898,000,0,000,통050001,보문1구역 주거환경개선사업 제1호 주차장 조성공사,116,주식회사 토림기술공사,3058163947,김반지,"대전광역시 서구 둔산대로117번길 95, 비동 5층(만년동, 리더스타운)",042-632-8222,281764700,88.497,2022-04-20 11:00:00,3650000,대전광역시 중구,2022-04-22 11:02:50,2022-04-22,
20220432050,000,0,000,통050001,효동 155-1번지 일원 노후관 개량공사,197,(합)중앙수도,3068107991,강상훈,대전광역시 대덕구 덕암북로60번길 42 (덕암동),042-932-2912,125360870,87.757,2022-04-26 11:00:00,6300318,대전광역시 상수도사업본부 동부사업소,2022-05-06 09:16:14,2022-05-06,
20220433931,001,0,001,통050001,대청동 자연취락지구 도시기반시설 정비공사(원세천지구),108,주식회사 세정건설,3118108328,이순희,"대전광역시 유성구 봉명로 39, 2층(원신흥동)",042-633-8530,248020000,87.759,2022-04-26 11:00:00,3640000,대전광역시 동구,2022-04-27 17:12:19,2022-04-27,
20220401652,000,0,000,통050001,대전문창초 운동장정비 및 기타공사,137,주식회사 대운종합건설,3088137512,김진현,"대전광역시 서구 둔산로 63, 402호(둔산동,대자빌딩)",042-527-6060,267597200,87.749,2022-04-07 11:00:00,7441000,대전광역시교육청 대전광역시동부교육지원청,2022-04-11 09:33:37,2022-04-11,
20220431891,000,0,000,통050001,용전동 148-1번지 일원 노후관 개량공사,254,동신토건 주식회사,6068639914,김수린,대전광역시 유성구 학하남로19번길 28-15(계산동),042-224-9112,230118858,88.552,2022-04-26 11:00:00,6300318,대전광역시 상수도사업본부 동부사업소,2022-05-06 09:16:39,2022-05-06,
20220431958,000,0,000,통050001,가양동 321-17번지 일원 노후관 개량공사,249,신평산업 주식회사,3108113702,이재열,"충청남도 당진시 무수동1길 25-22, 4층 (읍내동,흥환빌딩)",042-633-7820,298177000,88.512,2022-04-26 11:00:00,6300318,대전광역시 상수도사업본부 동부사업소,2022-05-06 09:17:06,2022-05-06,
20220443287,000,0,000,통050001,대화로 132번길 외 1개소 일원 노후관 개량공사,252,(주)태준이앤씨,7098800935,김광휘,경상남도 사천시 서향안길 10-29 (향촌동) 2층,070-4848-4050,343533517,88.622,2022-05-03 11:00:00,6300119,대전광역시 상수도사업본부 대덕사업소,2022-05-11 09:21:29,2022-05-11,
20220341271,000,0,000,통050001,가정동 Y21블록 노후관 개량공사,192,아인건설(주),3148136503,김종구,대전광역시 유성구 신성로 66 (),042-862-5781,65720400,87.772,2022-04-01 11:00:00,6300118,대전광역시 상수도사업본부 유성사업소,2022-04-01 11:27:59,2022-04-01,
20220443220,000,0,000,통050001,관리동 및 엑스포과학공원 오.우수관로 준설 공사,46,(주)물꼬건설,3058191593,박은남,"대전광역시 유성구 유성대로736번길 19, 606호(장대동, 넥스투빌)",042-320-9911,12257990,87.852,2022-05-03 11:00:00,B554696,대전관광공사,2022-05-06 10:07:23,2022-05-06,
20220407191,000,0,000,통050001,구암동 Y42 블록구축 정비공사,279,주식회사 명민정건설,1378614659,이영제,"대전광역시 서구 월평북로 95-0 (월평동) 1106호(월평동, 만년오피스텔)",042-472-9244,143626490,87.752,2022-04-12 11:00:00,6300114,대전광역시 상수도사업본부 수도시설관리소,2022-04-18 14:01:33,2022-04-18,
20220430818,000,0,000,통050001,대전만년중 등 2교(탄방초) 외부환경개선공사,146,브릿지테크 주식회사,5268101418,손혁준,충청남도 금산군 군북면 송림길 50 .101호,041-751-4091,271232329,87.748,2022-04-27 11:00:00,7451000,대전광역시교육청 대전광역시서부교육지원청,2022-04-27 17:31:55,2022-04-27,
20220400048,000,0,000,통050001,복수동 S16구역 외 1개소 블록구축 정비공사,278,영민건설 주식회사,3148143829,김주호,"대전광역시 유성구 복용남로 5-3, 2층(복용동)",042-528-2296,146827900,87.767,2022-04-07 11:00:00,6300114,대전광역시 상수도사업본부 수도시설관리소,2022-04-12 19:07:16,2022-04-12,
20220401697,000,0,000,통050001,대전자양초 등 2교(대전대동초) 노후포장개선 및 교문설치 공사,120,주식회사 세정건설,3118108328,이순희,"대전광역시 유성구 봉명로 39, 2층(원신흥동)",042-633-8530,303272000,87.747,2022-04-07 11:00:00,7441000,대전광역시교육청 대전광역시동부교육지원청,2022-04-11 16:47:47,2022-04-11,
20220400035,000,0,000,통050001,유천동 J35구역 외 1개소 블록구축 정비공사,194,주식회사아이에스종합건설,3148614519,이성복,"대전광역시 유성구 계룡로32번길 92, 201호(구암동)",042-822-3061,120690970,87.748,2022-04-07 11:00:00,6300114,대전광역시 상수도사업본부 수도시설관리소,2022-04-12 09:08:36,2022-04-12,
20220347591,000,0,000,통050001,산성동 328-1번지 일원 노후관 개량공사,251,청인건설주식회사,3058161139,엄운구,"대전광역시 대덕구 아리랑로113번안길 4 (읍내동), 2층",042-622-9906,273969380,88.51,2022-04-05 11:00:00,6300116,대전광역시 상수도사업본부 중부사업소,2022-04-06 16:27:05,2022-04-06,
20220343229,000,0,000,통050001,도로 침수대비 배수시설 개량공사,182,주식회사 명민정건설,1378614659,이영제,"대전광역시 서구 월평북로 95-0 (월평동) 1106호(월평동, 만년오피스텔)",042-472-9244,52719473,87.753,2022-04-01 11:00:00,3660000,대전광역시 서구,2022-04-04 13:08:53,2022-04-04,
20220441810,000,0,000,통050001,대전샘머리초 외부환경개선공사,137,주식회사 일조건설,3188102136,김도은,"대전광역시 유성구 온천로 59, 1524호(봉명동, 동아벤처타워)",042-624-9896,190946000,87.746,2022-05-02 11:00:00,7451000,대전광역시교육청 대전광역시서부교육지원청,2022-05-03 15:22:27,2022-05-03,
20220351607,000,0,000,통050001,대청호 밤실마을 배수로정비 사업,194,합자회사 늘푸른,3148187453,오혜경,"대전광역시 대덕구 대전로1364번길 17-2 (읍내동),1층",042-320-8815,89563200,87.749,2022-04-06 11:00:00,3640000,대전광역시 동구,2022-04-14 15:15:31,2022-04-14,
20220349169,000,0,000,통050001,보문3구역 소로3-대사25호선 도로개설공사,113,주식회사 대륙기업,3068126663,김종욱,"대전광역시 대덕구 대전로 1392번길 28, (읍내동)",042-637-4927,123912158,87.794,2022-04-06 11:00:00,3650000,대전광역시 중구,2022-04-07 15:23:19,2022-04-07,
20220346544,000,0,000,통050001,2022년 원내 배수로 등 보수공사,151,(주)기석건설,3068127376,서기숙,대전광역시 동구 옥천로96번길 96-77 (),042-631-5807,113377000,87.749,2022-04-19 11:00:00,1180249,국가보훈처 국립대전현충원,2022-04-25 15:03:08,2022-04-25,
20220424314,000,0,000,통050001,대전봉산초 외부환경개선공사,135,금성건설 주식회사,3058101484,김주일,대전광역시 중구 선화로 82 (선화동),042-253-2121,206367170,87.747,2022-04-22 11:00:00,7451000,대전광역시교육청 대전광역시서부교육지원청,2022-04-25 11:29:01,2022-04-25,
20220401470,000,0,000,통050001,중리중 보차도분리 및 기타공사,121,주식회사 동방종합건설건축사사무소,3148137818,윤동호,"대전광역시 유성구 월드컵대로 301 , 301호(구암동, 기린빌딩)",042-673-7500,235966920,87.754,2022-04-07 11:00:00,7441000,대전광역시교육청 대전광역시동부교육지원청,2022-04-11 16:48:21,2022-04-11,
20220442794,000,0,000,통050001,탄동천 오수관로 정비공사(4차),156,아인건설(주),3148136503,김종구,대전광역시 유성구 신성로 66 (),042-862-5781,337919600,87.76,2022-05-03 11:00:00,3670000,대전광역시 유성구,2022-05-03 13:33:08,2022-05-03,
20220536308,000,0,000,통050001,동대전고 외부환경개선공사,152,(주)드림기업,3148176112,임범수,"대전광역시 서구 문정로2번길 33, 202호 (탄방동, 스위트빌2차상가)",042-485-4833,241632970,87.75,2022-05-31 11:00:00,7430000,대전광역시교육청,2022-05-31 11:22:36,2022-05-31,
20220503533,000,0,000,통050001,2022년 상반기 음식물처리시설 저장조 준설공사,153,가득건설(주),2208703539,황성환,대전광역시 동구 옻밭2길 19-0 (신흥동),042-545-8870,53146000,87.754,2022-05-10 11:00:00,B552519,대전도시공사,2022-05-12 10:52:01,2022-05-12,
20220513045,000,0,000,통050001,기성중학교 일원 하수관로 설치공사,179,주식회사 대림원,3148196568,정옥단,대전광역시 동구 계족로 440-0 (용전동),042-320-8811,79597800,87.907,2022-05-17 11:00:00,3660000,대전광역시 서구,2022-05-17 13:05:49,2022-05-17,
20220511689,000,0,000,통050001,대전도시과학고 운동장 재조성공사,156,주식회사 에이치엔아이,4078111347,정진영,대전광역시 대덕구 대덕대로1454번길 101 (),042-931-9510,273111000,87.778,2022-05-16 11:00:00,7430000,대전광역시교육청,2022-05-16 11:20:28,2022-05-16,
20220443184,000,0,000,통050001,사정동 오월드네거리 배수시설 정비공사,196,(유) 태안건설,3108107888,김유성,대전광역시 대덕구 신탄진로162번길 156-0 (연축동),042-535-1338,158667352,87.746,2022-05-03 11:00:00,3650000,대전광역시 중구,2022-05-04 09:40:42,2022-05-04,
